name,item_id,flavor,image_id
Madame Massot,97a8e6be-8de2-494b-9934-009d2ba13ce5,Shrub,
The Poet,b99f8334-bad9-41e6-8e2e-1a03522dfe6f,,1cff56cd-da07-4656-96a6-175190073174
Sexy Rexy,5827588a-a3f3-49c2-9cae-87c78674ed63,Shrub,
Baby Masquerade,1c672b21-f107-49fb-bbed-dfcc9da9150e,Deciduous,
Hi Ho,31fd81a4-f26f-408b-b40f-10be34f51437,Miniature,e8c1699b-ecc4-45b3-a066-a61a72f1fbf2
Piptocalyx,ba6869d6-c9a7-4e3d-acef-0548252eb8ff,,50ca1e00-ae04-4952-bfa7-ab46c44351fa
Blanche Neige,360e2889-955d-4407-8c95-3dd1aa9101ee,Good,30f09af1-a0bc-42ed-903f-cf23df91bba1
Reichsprasident Von Hindenburg,bc53df37-3e88-48cf-aaa1-37a2bd207550,,e398973b-12f9-44e8-aeec-3998617e788e
Smiley Face,c2e14253-2463-493d-af86-bb9a4a1734f3,Strong,daf78662-cc44-4d83-a489-a3adcd82dcc6
Pohjolan Kuningatar,109573cf-808f-467b-95de-bfe84ba3eb3d,Showy,41edbc48-af7f-43fe-b0b1-72fefa3769b7
Golden Giant,95bd5a3f-8440-4267-99a6-f202a302c633,Hybrid tea,bb7720ed-ff48-439b-a523-939913a79b38
Robert Winston,721bd5a1-d24c-478b-91b2-c029e853e15b,,2c1c92d7-2d6b-45d2-b564-ea4a4462aacd
Ville Du Roeulx,e3af0d78-743f-4e71-89da-0271686de56d,Good,6045d02c-8b54-4944-b000-8b298a6cb6fd
Little Red Run Around,dc4e0fb7-6c61-4afe-b979-1b8ea23f7abf,Perennial,42b2543c-fd65-44b8-841a-b546bb61502a
Sir Walter Raleigh,1f0aa26d-ca0d-425b-ac83-0a416d82949e,Deciduous,24b15bb7-bce5-4bad-855f-b4b782043b98
Jean Ducher,f0c7f411-7181-4221-8c48-c58a65a5bd67,Jean Ducher,c9552b4d-06ac-4cfa-b240-bc5877df4e74
Sidonie,103240cc-09fa-4f8a-9811-b464d08aa68f,Deciduous,b0df0fdf-5e14-415f-8e0f-a231e30a7d44
Petit Pink,a945130d-668b-4662-a3bb-d2c573b637a0,Perennial,
Harriny,ffea05b2-44b7-490b-8345-917d6ae55863,Medium pink,
Heckenfeuer,70691cbe-4da3-4592-acd7-f178e8932556,,
Reine Des Violettes,63825fd8-71dd-4aaa-ad76-d816fa34620a,3-6 feet,
Lemon Meringue,fb76a551-161f-4b3d-9169-deacabaf6ef8,4-5 feet,
Ginger Syllabub,efedcb5e-c32f-4fb5-8108-66bd348975d7,Strong,
Classic Woman,8f18943f-415a-4fc2-a5d0-91bceb5b15f5,Showy,
