name,item_id,flavor,image_id
Kings Macc,25273cff-354c-4311-9465-801a5f389aee,Good,e28f9d97-a0f2-42ef-b006-90235b7db533
Iluse,4ea7a1fa-47e9-4981-8eb5-6fd14ce297ab,4041,30d9a5d1-4e3e-49d7-9bfe-076104957c61
Minerva,eeef5cdb-0154-47ab-9164-4b6a66fd9ed2,Full Sun,b30e4985-e96c-4e1a-bb0e-04f8f745b46e
Kristall,40b31676-648c-46bf-b2f5-b70654c57a42,Perennial,f59190e7-d265-4199-aa02-4807c58ca2bc
Justine Ramet,263d5726-ef20-4cb9-af40-f3a5afd8a20d,Justine Ramet,8a83093f-9c19-40ec-8d88-6e0d64c3bd1b
Sebastian Schultheis,8f509eac-2277-40a8-b025-64392e70e1f4,Shrub,370931d7-a0f9-4666-a13e-4e316979c793
Purple Rain,50e500de-2572-4079-832a-1e3f321892b1,Shrub,
Jilly Jewel,dda0d923-ce9e-4762-8907-c01e74602f80,Deciduous,
Snowbird,7da15d46-3963-40f7-89fa-a622260712e7,Hybrid tea,4770d597-b75a-45d5-89e0-ce8c599dccd9
Red Sunblaze,cea888dc-f156-4bd1-9998-310c82934f44,Perennial,
Robbie Burns,fc20fa7f-b898-48d5-89d0-702476be4f47,Pink,1a9335d0-fcd7-40e7-97c2-5ff679a4d1e6
Satchmo,688a666d-640a-4a89-ad40-727f2c909d06,Deciduous,c265b511-9126-488f-8926-b1063b6684e6
Irene,bf4d27e0-58da-40e0-9a11-533f76ffb7b0,Shrub,de4379c4-5385-462d-aa9e-a063e29725c1
Wedding Day,adc451cf-c0b9-47dd-99d1-f745f015eed8,2097,
Jaune Desprez,f87dc69c-2242-42ef-a0e7-9e47e0d648e1,Cupped,b260660f-eff9-4884-8416-c43630f446fc
Radiance,9a51fe43-d563-47b1-be2a-b2b06d1a242f,Showy,e0b699f2-277d-4de6-851f-1754f0d13294
Alecs Red,b0890eec-800a-4db9-bb7a-fae91453b985,Perennial,
Lilibet,228bcf7f-c1a6-4fcb-9b88-423c9ea3d40e,Deciduous,6ce315cc-d23f-4f99-bc17-2e7076555ac1
Andrea,12c211b7-f7b7-4717-abc9-cc96351ecab2,2,
Harold Macmillan,d066694a-67b2-4e5b-b5fb-6582bef6073a,2 feet,
Lady Kathryn,e1452108-cd85-451c-931b-5ba7f305253a,,4338feb2-906c-473f-88ef-2fd37756cf5e
Orange Fire,4360ecd5-0e5b-43eb-96d5-e0a5bb3cfdab,703255,f0d6c0b9-6469-4dde-9e6a-56633a3d4474
Chivalry,18853a00-9a97-44b7-804d-f305c863bfd4,High-centered,0555856c-bbd0-41f6-ad10-8d4391b91e8e
Richmond,c3c83593-a775-48ee-bfc4-0bcbc559fe66,698586,
Maximowicziana Var Coreana,8a521e83-8708-4d0d-8970-8d0ebb562025,,0705c5e4-3d27-45c6-b462-49bb108dabd3
Kaikoura,e815673b-8a6d-4dab-bd46-32ee97a33cf1,Shrub,
Bad Ems,5c8104fd-2ee9-4260-bef5-722d19db1d0d,Perennial,
Suitor,b78629d7-07f7-4847-9867-6923d1535fca,1-2 feet,
Glacier 1985,1af9333d-ac27-4266-a190-d3fee9f0c334,Shrub,2873a834-9cb1-4b43-85f3-380a07746522
Sanka,42188e18-588c-46c5-a825-7e5c289446c5,Perennial,
Pink Soupert,0292dc13-015c-4123-86b5-9fd44e99f3c6,Bees,
Nigrette,d98ef002-56a1-4905-b5c2-7584ef198818,"Short, 2-3 feet, upright",
Magic Show,39bb0b9b-b603-4bd7-adfc-72e879aa132e,18-30 inches,
